                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     11,                 1.2076,                 2.4692,                 1.4528,                0.59064,                 0.8637,                0.85595,                0.61995,                 1.6525,                  1.063,                 1.3542,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 0.9914,                 2.0061,                  1.366,                0.58565,                0.86399,                0.85561,                0.62083,                 1.6615,                 1.0735,                 1.3618,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                0.87115,                 2.2381,                  1.132,                0.59052,                0.86667,                0.85501,                0.62082,                 1.6483,                 1.0733,                 1.3518,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 1.0832,                 2.1887,                 1.4836,                0.59793,                0.86667,                0.88803,                0.62731,                 1.6517,                 1.0938,                 1.3562,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                0.92887,                 1.6481,                 1.1229,                0.60723,                0.86667,                0.88802,                0.62731,                 1.6507,                 1.1014,                 1.3574,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 1.2234,                 2.4806,                 1.6236,                0.61055,                0.86667,                0.87512,                0.62676,                 1.6623,                 1.1229,                  1.367,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                 0.8444,                 1.7846,                 1.1911,                0.62052,                    0.7,                0.87291,                0.62795,                 1.6615,                 1.1333,                 1.3699,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 1.1567,                 1.5519,                 1.3604,                0.62052,                    0.7,                0.87291,                0.62795,                 1.6615,                 1.1333,                 1.3699,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                0.97843,                 1.9056,                 1.1355,                0.77483,                   0.65,                0.86188,                0.61114,                 1.6686,                 1.1768,                 1.3789,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                0.89711,                 1.5357,                  1.211,                0.77483,                   0.65,                0.86188,                0.61114,                 1.6686,                 1.1768,                 1.3789,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                 1.2922,                 2.4985,                 1.7134,                0.77119,                   0.65,                0.85531,                 0.6099,                 1.6812,                 1.2121,                 1.3858,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                 1.0833,                 2.3391,                 1.5191,                0.77119,                   0.65,                0.85531,                 0.6099,                 1.6812,                 1.2121,                 1.3858,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                 1.0587,                 1.8206,                 1.4723,                0.74589,                   0.65,                0.85514,                 0.6192,                 1.6802,                 1.2319,                 1.3835,             2.0478e-05,             2.0478e-05,             2.0478e-05
